PET,TEXT,text_name,condition,domain,Sent_id,keystrokes,time,num_major,num_minor,num_characters,highlight_ratio,prc_sugg_accepted,tags_edited,How difficult to translate was the source text?,How good was the quality of MT?,How useful were the error annotations? ,How accurate were the error annotations? ,How useful were the translation suggestions? ,How accurate were the translation suggestions? 
1,Text 1,news_pa.5274,1,news,1,17,23.747,0,0,92,0.0,N/A,,Somewhat difficult,Good,nan,nan,nan,nan
1,Text 1,news_pa.5274,1,news,2,36,80.881,0,0,202,0.0,N/A,,Somewhat difficult,Good,nan,nan,nan,nan
1,Text 1,news_pa.5274,1,news,3,13,64.219,0,0,208,0.0,N/A,,Somewhat difficult,Good,nan,nan,nan,nan
1,Text 1,news_pa.5274,1,news,4,10,39.203,0,0,256,0.0,N/A,,Somewhat difficult,Good,nan,nan,nan,nan
1,Text 1,news_pa.5274,1,news,5,18,94.91300000000001,0,0,223,0.0,N/A,,Somewhat difficult,Good,nan,nan,nan,nan
1,Text 1,news_pa.5274,1,news,6,21,156.34199999999998,0,0,523,0.0,N/A,,Somewhat difficult,Good,nan,nan,nan,nan
1,Text 2,doc13,1,medical,1,37,38.38,0,0,104,0.0,N/A,,Somewhat difficult,Fair,nan,nan,nan,nan
1,Text 2,doc13,1,medical,2,0,11.838,0,0,174,0.0,N/A,,Somewhat difficult,Fair,nan,nan,nan,nan
1,Text 2,doc13,1,medical,3,12,53.797000000000004,0,0,225,0.0,N/A,,Somewhat difficult,Fair,nan,nan,nan,nan
1,Text 2,doc13,1,medical,4,19,61.43,0,0,106,0.0,N/A,,Somewhat difficult,Fair,nan,nan,nan,nan
1,Text 2,doc13,1,medical,5,69,133.088,0,0,287,0.0,N/A,,Somewhat difficult,Fair,nan,nan,nan,nan
1,Text 2,doc13,1,medical,6,27,87.229,0,0,229,0.0,N/A,,Somewhat difficult,Fair,nan,nan,nan,nan
1,Text 2,doc13,1,medical,7,27,104.746,0,0,297,0.0,N/A,,Somewhat difficult,Fair,nan,nan,nan,nan
1,Text 2,doc13,1,medical,8,23,28.168999999999997,0,0,168,0.0,N/A,,Somewhat difficult,Fair,nan,nan,nan,nan
1,Text 3,news_scotsman.87462,2,news,1,105,85.84700000000001,2,0,111,0.2072,N/A,'omworstelaars'; 'steak pies',Neutral,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan
1,Text 3,news_scotsman.87462,2,news,2,39,32.574000000000005,1,0,206,0.0728,N/A,'kers op de hoek',Neutral,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan
1,Text 3,news_scotsman.87462,2,news,3,10,52.977000000000004,1,1,222,0.2568,N/A,'de PA dat er'momenteel plannen zijn' om',Neutral,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan
1,Text 3,news_scotsman.87462,2,news,4,62,90.83300000000001,2,1,133,0.2481,N/A,'onderneming'; 'op een netto basis',Neutral,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan
1,Text 3,news_scotsman.87462,2,news,5,57,60.959,1,0,118,0.0339,N/A,'reis',Neutral,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan
1,Text 3,news_scotsman.87462,2,news,6,208,179.681,3,0,258,0.0814,N/A,'pudding'; 'kerstpudding'; 'ba',Neutral,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan
1,Text 3,news_scotsman.87462,2,news,7,85,151.09,2,3,220,0.2727,N/A,'punten'; 'betaalbare traktatie'; 'enten niet onder druk staan',Neutral,Fair,Somewhat not useful,Somewhat inaccurate,nan,nan
1,Text 4,doc18,2,medical,1,40,56.05800000000001,1,1,195,0.159,N/A,'uitkomst helpt niet',Somewhat difficult,Insufficient,Neutral,Not accurate nor inaccurate,nan,nan
1,Text 4,doc18,2,medical,2,67,131.812,0,1,198,0.0101,N/A,'en',Somewhat difficult,Insufficient,Neutral,Not accurate nor inaccurate,nan,nan
